	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
ACPP	56.8809004596476	49.1886028710134	114.013865019698	79.4223595671373	105.585521789804	106.022614969245	97.6559205684387	98.9607086744745
ACPT	0	0	0	0	0	1.78189268855874	1.03889277200467	1.33730687397938
ACR	2.55644496447854	1.06931745371768	0.832217992844512	2.67715818765631	1.53022495347543	1.78189268855874	1.03889277200467	2.67461374795877
ACRBP	13.4213360635124	14.9704443520476	4.16108996422256	8.92386062552105	6.1208998139017	8.01851709851434	11.4278204920513	13.3730687397938
ACRC	207.711153363882	167.882840233676	71.570747384628	85.6690620050021	68.8601229063941	71.2757075423497	73.7613868123314	77.5637986908043
ACRV1	0	2.13863490743537	0	0	1.53022495347543	0.890946344279371	2.07778554400933	1.33730687397938
ACSBG1	52.4071217718101	37.4261108801189	9.15439792128963	12.4934048757295	10.711574674328	17.8189268855874	16.6222843520747	4.01192062193816
ACSBG2	1.27822248223927	2.13863490743537	0	1.78477212510421	3.06044990695085	0	0	0
ACSF2	277.374278645922	311.171379031846	484.350871835506	547.03265634444	462.127935949578	304.703649743545	314.784509917414	300.894046645362
ACSF3	403.27919314649	423.449711672202	324.56501720936	319.474210393653	324.40769013679	362.615162121704	357.379113569606	373.108617840248
ACSL1	1349.80294124467	1409.36040399991	1502.98569507719	1477.79131958629	1608.26642610267	1437.98739966691	1519.90012544283	1493.77177823497
ACSL3	2437.57027363029	2575.9857460059	3261.46231395764	3240.25379312669	3758.23248573564	3421.23396203279	3503.14642719974	3507.75593044793
ACSL4	3476.1260404497	3830.29511921674	5486.81322682387	5366.80978018836	6244.84803513321	3841.76063653265	3939.4813914417	3676.25659656933
ACSL5	30.6773395737425	12.8318094446122	4.99330795706707	1.78477212510421	6.1208998139017	10.6913561313525	4.15557108801867	9.3611481178557
ACSL6	128.461359465047	159.328300603935	236.349909967841	207.033566512088	241.775542649117	140.769522396141	147.522773624663	137.742608019877
ACSM1	0.639111241119636	1.06931745371768	0	1.78477212510421	0	1.78189268855874	0	1.33730687397938
ACSM2A	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0
ACSM3	47.9333430839727	60.9510948619079	77.3962733345396	72.2832710667205	71.920572813345	53.4567806567623	57.1391024602567	74.8891849428456
ACSM4	0	0	0	0	0	0	0	0
ACSM5	0.639111241119636	0	0.832217992844512	0	0	0.890946344279371	0	0
ACSS1	352.150293856919	393.508822968107	457.719896064482	489.919948341106	445.295461461349	356.378537711748	343.873507533545	377.120538462187
ACSS2	445.460535060386	444.836060746556	569.237107105646	608.607294660535	477.430185484333	483.783864943699	450.879463050026	445.323189035135
ACSS3	157.22136531543	206.378268567513	243.007653910597	240.944236889068	261.668467044298	223.627532414122	190.117377276854	209.957179214763
